Program Version:,EnergyPlus, Version 23.2.0-7636e6b3e9, YMD=2024.04.10 13:11
Tabular Output Report in Format: ,Comma

Building:,Building
Environment:,GREEN STUDIO (01-01:31-01) ** SINGAPORE - SGP IWEC Data WMO#=486980

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over       744.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kBtu],Energy Per Total Building Area [kBtu/ft2],Energy Per Conditioned Building Area [kBtu/ft2]
,Total Site Energy,291245.06,2.65,2.72
,Net Site Energy,49723.84,0.45,0.46
,Total Source Energy,922373.10,8.40,8.61
,Net Source Energy,157475.40,1.43,1.47


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating Water,3.613
,District Heating Steam,0.250
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [ft2]
,Total Building Area,109802.57
,Net Conditioned Building Area,107069.37
,Unconditioned Building Area,2733.20


End Uses

,,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating Water [kBtu],District Heating Steam [kBtu],Water [gal]
,Heating,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,91122.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,27515.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,85767.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,65017.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,20917.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,904.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79637.61
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
,Total End Uses,291245.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79637.61


End Uses By Subcategory

,,Subcategory,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating Water [kBtu],District Heating Steam [kBtu],Water [gal]
,SUMMER DESIGN DAY IN GREEN STUDIO (01-01:31-01) JUN,91.76,10.62,80.06,Wetbulb [F],0.00,0.00
,SUMMER DESIGN DAY IN GREEN STUDIO (01-01:31-01) JUL,90.68,10.26,79.34,Wetbulb [F],0.00,0.00
,SUMMER DESIGN DAY IN GREEN STUDIO (01-01:31-01) AUG,91.04,10.44,78.80,Wetbulb [F],0.00,0.00
,SUMMER DESIGN DAY IN GREEN STUDIO (01-01:31-01) SEP,91.04,10.80,78.62,Wetbulb [F],0.00,0.00
,WINTER DESIGN DAY IN GREEN STUDIO (01-01:31-01),73.58,0.00,73.58,Wetbulb [F],374.03,290.00


Monthly Precipitation Summary

,,Monthly Total Precipitation from .epw [in],Monthly Total Hours of Rain from .epw,Monthly Total Precipitation in Site:Precipitation [in],Monthly Total Roof Irrigation Depth [in],Monthly Total Rain Collection Volume [ft3]
,Jan,0.79,20,,,
,Feb,0.00,0,,,
,Mar,0.00,0,,,
,Apr,0.00,0,,,
,May,0.00,0,,,
,Jun,0.00,0,,,
,Jul,0.00,0,,,
,Aug,0.00,0,,,
,Sep,0.00,0,,,
,Oct,0.00,0,,,
,Nov,0.00,0,,,
,Dec,0.00,0,,,


Weather Statistics File

,,Value
,None,


----------------------------------------------------------------------------------------------------
REPORT:,Envelope Summary
FOR:,Entire Facility
Opaque Exterior

,,Construction,Reflectance,U-Factor with Film [Btu/h-ft2-F],U-Factor no Film [Btu/h-ft2-F],Gross Area [ft2],Net Area [ft2],Azimuth [deg],Tilt [deg],Cardinal Direction
,BASEMENT2:B1XSERVERROOM_WALL_3_0_0,PROJECT BELOW GRADE WALL,0.30,0.063,0.066,654.51,654.51,32.00,90.00,N
,BASEMENT2:B1XSERVERROOM_WALL_4_0_0,PROJECT BELOW GRADE WALL,0.30,0.063,0.066,940.86,940.86,302.00,90.00,W
,BASEMENT2:B1XSERVERROOM_GROUNDFLOOR_0_0_0,PROJECT GROUND FLOOR,0.40,0.045,0.046,3961.51,3961.51,32.00,180.00,
,BASEMENT2:B1XSERVERROOM_ROOF_1_6_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,139.94,139.94,212.00,0.00,
,BASEMENT2:B1XSERVERROOM_ROOF_1_6_1,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,193.64,193.64,212.00,0.00,
,BASEMENT2:B1XSERVERROOM_ROOF_1_6_2,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,193.64,193.64,212.00,0.00,
,BASEMENT2:B1XSERVERROOM_ROOF_1_6_3,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,75.35,75.35,212.00,0.00,
,BASEMENT2:B1XSERVERROOM_ROOF_1_6_4,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,279.94,279.94,212.00,0.00,
,BASEMENT2:B1XSERVERROOM_ROOF_1_6_5,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,247.30,247.30,212.00,0.00,
,BASEMENT2:B1XSERVERROOM_ROOF_1_6_6,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,32.26,32.26,212.00,0.00,
,BASEMENT2:B1XCORE_GROUNDFLOOR_0_0_0,PROJECT GROUND FLOOR,0.40,0.045,0.046,2615.89,2615.89,32.00,180.00,
,BASEMENT2:B1XCORE_ROOF_1_1_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,871.96,871.96,212.00,0.00,
,BASEMENT2:B1XCORE_ROOF_1_1_1,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,968.85,968.85,212.00,0.00,
,BASEMENT2:B1XCORRIDOR_WALL_3_0_0,PROJECT BELOW GRADE WALL,0.30,0.063,0.066,1268.11,1268.11,32.00,90.00,N
,BASEMENT2:B1XCORRIDOR_WALL_7_0_0,PROJECT BELOW GRADE WALL,0.30,0.063,0.066,163.63,163.63,212.00,90.00,S
,BASEMENT2:B1XCORRIDOR_WALL_10_0_0,PROJECT BELOW GRADE WALL,0.30,0.063,0.066,204.53,204.53,122.00,90.00,E
,BASEMENT2:B1XCORRIDOR_GROUNDFLOOR_0_0_0,PROJECT GROUND FLOOR,0.40,0.045,0.046,1319.85,1319.85,32.00,180.00,
,BASEMENT2:B1XCORRIDOR_GROUNDFLOOR_0_0_1,PROJECT GROUND FLOOR,0.40,0.045,0.046,551.80,551.80,32.00,180.00,
,BASEMENT2:B1XCORRIDOR_GROUNDFLOOR_0_0_2,PROJECT GROUND FLOOR,0.40,0.045,0.046,193.77,193.77,32.00,180.00,
,BASEMENT2:B1XCORRIDOR_GROUNDFLOOR_0_0_3,PROJECT GROUND FLOOR,0.40,0.045,0.046,968.85,968.85,32.00,180.00,
,BASEMENT2:B1XCORRIDOR_GROUNDFLOOR_0_0_4,PROJECT GROUND FLOOR,0.40,0.045,0.046,231.63,231.63,32.00,180.00,
,BASEMENT2:B1XCORRIDOR_GROUNDFLOOR_0_0_5,PROJECT GROUND FLOOR,0.40,0.045,0.046,17.44,17.44,0.00,180.00,
,BASEMENT2:B1XCORRIDOR_GROUNDFLOOR_0_0_6,PROJECT GROUND FLOOR,0.40,0.045,0.046,2578.03,2578.03,0.00,180.00,
,BASEMENT2:B1XCORRIDOR_GROUNDFLOOR_0_0_7,PROJECT GROUND FLOOR,0.40,0.045,0.046,387.54,387.54,32.00,180.00,
,BASEMENT2:B1XCORRIDOR_GROUNDFLOOR_0_0_8,PROJECT GROUND FLOOR,0.40,0.045,0.046,231.61,231.61,0.00,180.00,
,BASEMENT2:B1XCORRIDOR_ROOF_1_4_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,115.60,115.60,212.00,0.00,
,BASEMENT2:B1XCORRIDOR_ROOF_1_4_1,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,247.53,247.53,212.00,0.00,
,BASEMENT2:B1XCORRIDOR_ROOF_1_4_2,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,402.10,402.10,212.00,0.00,
,BASEMENT2:B1XCORRIDOR_ROOF_1_4_3,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,75.35,75.35,212.00,0.00,
,BASEMENT2:B1XCORRIDOR_ROOF_1_4_4,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,242.21,242.21,212.00,0.00,
,BASEMENT2:B1XCORRIDOR_ROOF_1_4_5,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,82.32,82.32,212.00,0.00,
,BASEMENT2:B1XCORRIDOR_ROOF_1_4_6,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,226.06,226.06,212.00,0.00,
,BASEMENT2:B1XCORRIDOR_ROOF_1_4_7,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,118.04,118.04,212.00,0.00,
,BASEMENT2:B1XCORRIDOR_ROOF_1_4_8,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,306.80,306.80,212.00,0.00,
,BASEMENT2:B1XCORRIDOR_ROOF_1_4_9,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,153.19,153.19,212.00,0.00,
,BASEMENT2:B1XEQUIPMENTROOM_WALL_3_0_0,PROJECT BELOW GRADE WALL,0.30,0.063,0.066,286.35,286.35,32.00,90.00,N
,BASEMENT2:B1XEQUIPMENTROOM_GROUNDFLOOR_0_0_0,PROJECT GROUND FLOOR,0.40,0.045,0.046,1356.39,1356.39,32.00,180.00,
,BASEMENT2:B1XEQUIPMENTROOM_ROOF_1_3_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,64.59,64.59,212.00,0.00,
,BASEMENT2:B1XEQUIPMENTROOM_ROOF_1_3_1,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,140.01,140.01,212.00,0.00,
,BASEMENT2:B1XEQUIPMENTROOM_ROOF_1_3_2,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,371.29,371.29,212.00,0.00,
,BASEMENT2:B1XGYM_WALL_2_0_0,PROJECT BELOW GRADE WALL,0.30,0.063,0.066,736.32,736.32,122.00,90.00,E
,BASEMENT2:B1XGYM_WALL_3_0_0,PROJECT BELOW GRADE WALL,0.30,0.063,0.066,368.16,368.16,32.00,90.00,N
,BASEMENT2:B1XGYM_GROUNDFLOOR_0_0_0,PROJECT GROUND FLOOR,0.40,0.045,0.046,1743.92,1743.92,32.00,180.00,
,BASEMENT2:B1XGYM_ROOF_1_2_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,145.33,145.33,212.00,0.00,
,BASEMENT2:B1XSHOP_WALL_4_0_0,PROJECT BELOW GRADE WALL,0.30,0.063,0.066,531.79,531.79,302.00,90.00,W
,BASEMENT2:B1XSHOP_WALL_5_0_0,PROJECT BELOW GRADE WALL,0.30,0.063,0.066,572.70,572.70,212.00,90.00,S
,BASEMENT2:B1XSHOP_GROUNDFLOOR_0_0_0,PROJECT GROUND FLOOR,0.40,0.045,0.046,1959.22,1959.22,32.00,180.00,
,BASEMENT2:B1XSHOP_ROOF_1_1_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,279.89,279.89,212.00,0.00,
,BASEMENT2:B1XCANTEEN_WALL_2_0_0,PROJECT BELOW GRADE WALL,0.30,0.063,0.066,531.79,531.79,122.00,90.00,E
,BASEMENT2:B1XCANTEEN_WALL_5_0_0,PROJECT BELOW GRADE WALL,0.30,0.063,0.066,1840.81,1840.81,212.00,90.00,S
,BASEMENT2:B1XCANTEEN_GROUNDFLOOR_0_0_0,PROJECT GROUND FLOOR,0.40,0.045,0.046,6297.50,6297.50,32.00,180.00,
,BASEMENT2:B1XCANTEEN_ROOF_1_2_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.089,0.094,279.89,279.89,212.00,0.00,
,1FXEXHIBITION:ZONE1_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,710.49,375.17,122.00,90.00,E
,1FXEXHIBITION:ZONE1_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,559.78,297.93,32.00,90.00,N
,1FXEXHIBITION:ZONE1_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,710.49,375.17,302.00,90.00,W
,1FXEXHIBITION:ZONE1_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,559.78,297.93,212.00,90.00,S
,1FXRECEPTION:ZONE1_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,430.46,231.65,122.00,90.00,E
,1FXRECEPTION:ZONE1_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,559.78,297.93,32.00,90.00,N
,1FXRECEPTION:ZONE1_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,430.46,231.65,302.00,90.00,W
,1FXRECEPTION:ZONE1_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,559.78,297.93,212.00,90.00,S
,1FXACCEEORYROOM:ZONE1_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,322.95,322.95,122.00,90.00,E
,1FXACCEEORYROOM:ZONE1_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,559.78,559.78,32.00,90.00,N
,1FXACCEEORYROOM:ZONE1_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,322.95,322.95,302.00,90.00,W
,1FXACCEEORYROOM:ZONE1_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,559.78,559.78,212.00,90.00,S
,1FXACCEEORYROOM:ZONE1_GROUNDFLOOR_0_2_0,PROJECT GROUND FLOOR,0.40,0.045,0.046,139.51,139.51,32.00,180.00,
,1FXHALL:ZONE1_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,710.49,375.17,122.00,90.00,E
,1FXHALL:ZONE1_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,1464.03,761.36,32.00,90.00,N
,1FXHALL:ZONE1_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,710.49,375.17,302.00,90.00,W
,1FXHALL:ZONE1_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,1464.03,761.36,212.00,90.00,S
,1FXHALL:ZONE1_ROOF_1_0_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.088,0.094,1420.97,1420.97,212.00,0.00,
,1FXLECTUREHALL:ZONE2_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,710.49,710.49,122.00,90.00,E
,1FXLECTUREHALL:ZONE2_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,559.78,559.78,32.00,90.00,N
,1FXLECTUREHALL:ZONE2_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,710.49,710.49,302.00,90.00,W
,1FXLECTUREHALL:ZONE2_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,559.78,559.78,212.00,90.00,S
,1FXLECTUREHALL:ZONE2_GROUNDFLOOR_0_2_0,PROJECT GROUND FLOOR,0.40,0.045,0.046,177.62,177.62,32.00,180.00,
,1FXLECTUREHALL:ZONE2_ROOF_1_3_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.088,0.094,444.05,444.05,212.00,0.00,
,1FXLECTUREXRESTROOM:RESTROOM_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,107.65,107.65,302.00,90.00,W
,1FXLECTUREXRESTROOM:RESTROOM_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,559.78,559.78,212.00,90.00,S
,1FXLECTUREXRESTROOM:RESTROOM_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,107.65,107.65,122.00,90.00,E
,1FXLECTUREXRESTROOM:RESTROOM_GROUNDFLOOR_0_1_0,PROJECT GROUND FLOOR,0.40,0.045,0.046,26.91,26.91,32.00,180.00,
,1FXLECTUREXRESTROOM:RESTROOM_ROOF_1_1_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.088,0.094,67.28,67.28,212.00,0.00,
,1FXLECTUREXRESTROOM:LECTURE_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,322.81,322.81,122.00,90.00,E
,1FXLECTUREXRESTROOM:LECTURE_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,559.78,559.78,32.00,90.00,N
,1FXLECTUREXRESTROOM:LECTURE_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,322.81,322.81,302.00,90.00,W
,1FXLECTUREXRESTROOM:LECTURE_GROUNDFLOOR_0_1_0,PROJECT GROUND FLOOR,0.40,0.045,0.046,80.70,80.70,32.00,180.00,
,1FXLECTUREXRESTROOM:LECTURE_ROOF_1_1_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.088,0.094,201.76,201.76,212.00,0.00,
,1FXACCESSORYROOM:ZONE1_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,322.95,322.95,122.00,90.00,E
,1FXACCESSORYROOM:ZONE1_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,559.78,559.78,32.00,90.00,N
,1FXACCESSORYROOM:ZONE1_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,322.95,322.95,302.00,90.00,W
,1FXACCESSORYROOM:ZONE1_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,559.78,559.78,212.00,90.00,S
,1FXACCESSORYROOM:ZONE1_GROUNDFLOOR_0_1_0,PROJECT GROUND FLOOR,0.40,0.045,0.046,128.77,128.77,32.00,180.00,
,1FXACCESSORYROOM:ZONE1_GROUNDFLOOR_0_1_1,PROJECT GROUND FLOOR,0.40,0.045,0.046,80.74,80.74,32.00,180.00,
,1FXACCESSORYROOM:ZONE1_ROOF_1_1_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.088,0.094,201.84,201.84,212.00,0.00,
,1FXOFFICE:ZONE1_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,322.95,176.55,122.00,90.00,E
,1FXOFFICE:ZONE1_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,1464.03,761.36,32.00,90.00,N
,1FXOFFICE:ZONE1_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,322.95,176.55,302.00,90.00,W
,1FXOFFICE:ZONE1_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,1464.03,761.36,212.00,90.00,S
,1FXOFFICE:ZONE1_GROUNDFLOOR_0_3_0,PROJECT GROUND FLOOR,0.40,0.045,0.046,364.86,364.86,32.00,180.00,
,1FXOFFICE:ZONE1_ROOF_1_2_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.088,0.094,645.90,645.90,212.00,0.00,
,1FXSERVICEROOM:ZONE1_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,430.46,430.46,122.00,90.00,E
,1FXSERVICEROOM:ZONE1_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,344.48,344.48,32.00,90.00,N
,1FXSERVICEROOM:ZONE1_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,430.46,430.46,302.00,90.00,W
,1FXSERVICEROOM:ZONE1_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,344.48,344.48,212.00,90.00,S
,1FXSERVICEROOM:ZONE1_ROOF_1_0_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.088,0.094,860.93,860.93,212.00,0.00,
,2FXLAB:ZONE1_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,322.95,322.95,122.00,90.00,E
,2FXLAB:ZONE1_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,452.13,326.51,32.00,90.00,N
,2FXLAB:ZONE1_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,322.95,264.39,302.00,90.00,W
,2FXLAB:ZONE1_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,452.13,290.66,212.00,90.00,S
,2FXLABXRESTROOM:RESTROOM_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,107.65,107.65,302.00,90.00,W
,2FXLABXRESTROOM:RESTROOM_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,452.13,452.13,212.00,90.00,S
,2FXLABXRESTROOM:RESTROOM_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,107.65,107.65,122.00,90.00,E
,2FXLABXRESTROOM:LAB_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,322.81,322.81,122.00,90.00,E
,2FXLABXRESTROOM:LAB_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,452.13,289.55,32.00,90.00,N
,2FXLABXRESTROOM:LAB_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,322.81,262.70,302.00,90.00,W
,2FXOFFICEXLAB:OFFICE_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,473.66,249.85,302.00,90.00,W
,2FXOFFICEXLAB:OFFICE_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,452.13,242.76,212.00,90.00,S
,2FXOFFICEXLAB:OFFICE_WALL_6_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,473.66,249.85,122.00,90.00,E
,2FXOFFICEXLAB:OFFICE_EXTFLOOR_0_1_0,PROJECT EXTERNAL FLOOR,0.30,0.044,0.046,169.55,169.55,32.00,180.00,
,2FXOFFICEXLAB:OFFICE_ROOF_1_1_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.088,0.094,169.55,169.55,212.00,0.00,
,2FXOFFICEXLAB:AC_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,301.42,301.42,122.00,90.00,E
,2FXOFFICEXLAB:AC_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,129.18,129.18,32.00,90.00,N
,2FXOFFICEXLAB:LAB_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,322.95,207.49,32.00,90.00,N
,2FXOFFICEXLAB:LAB_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,301.42,245.48,302.00,90.00,W
,2FXMEETINGROOM:ZONE1_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,322.95,205.83,122.00,90.00,E
,2FXMEETINGROOM:ZONE1_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,559.78,297.93,32.00,90.00,N
,2FXMEETINGROOM:ZONE1_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,322.95,176.55,302.00,90.00,W
,2FXMEETINGROOM:ZONE1_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,559.78,297.93,212.00,90.00,S
,2FXOFFICEXAC:OFFICE_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,775.08,188.18,122.00,90.00,E
,2FXOFFICEXAC:OFFICE_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,559.78,140.82,32.00,90.00,N
,2FXOFFICEXAC:OFFICE_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,775.08,188.18,302.00,90.00,W
,2FXOFFICEXAC:OFFICE_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,559.78,297.93,212.00,90.00,S
,2FXOFFICEXAC:OFFICE_EXTFLOOR_0_1_0,PROJECT EXTERNAL FLOOR,0.30,0.044,0.046,209.92,209.92,32.00,180.00,
,2FXOFFICEXAC:OFFICE_ROOF_1_1_0,BPS_BASELINE_ROOF_WITHOUT_SKYLIGHT_IMPROVED,0.15,0.088,0.094,69.97,69.97,212.00,0.00,
,2FXLABXRESTROOM1:RESTROOM_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,107.65,107.65,302.00,90.00,W
,2FXLABXRESTROOM1:RESTROOM_WALL_4_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,624.37,624.37,212.00,90.00,S
,2FXLABXRESTROOM1:RESTROOM_WALL_5_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,107.65,107.65,122.00,90.00,E
,2FXLABXRESTROOM1:RESTROOM_EXTFLOOR_0_1_0,PROJECT EXTERNAL FLOOR,0.30,0.044,0.046,40.37,40.37,32.00,180.00,
,2FXLABXRESTROOM1:LAB_WALL_2_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,322.81,232.65,122.00,90.00,E
,2FXLABXRESTROOM1:LAB_WALL_3_0_0,BPS_BASELINE_WALL,0.30,0.089,0.097,624.37,395.33,32.00,90.00,N
